,date,content
45,2021-11-16 20:28:14+00:00,"@rocarelli @afazendarecord @recordtvoficial @SedaOficial @Ambev @TikTokBrasil @BancoOriginal @AuroraAlimentos @americanas 
E aí marcas vão compactuar?
FACA NÃO É ENTRETENIMENTO 
FACA NÃO É ENTRETENIMENTO 
FACA NÃO É ENTRETENIMENTO 
FACA NÃO É ENTRETENIMENTO https://t.co/yxBDpOf0vu"
46,2021-11-16 18:56:47+00:00,@edubmoura @AuroraAlimentos @SedaOficial @BancoOriginal @Ambev @americanas Depois da faca de ontem a Record tem que ser cobrado para uma posição pois a qualquer momento teremos assasinato ao vivo
47,2021-11-16 17:15:30+00:00,"Agora é permitido pelas regras usar arma branca? Falta de respeito total com o público, esperamos uma retratação.  
@afazendarecord @rocarelli @GalisteuOficial @TikTokBrasil @SedaOficial @Ambev @americanas @BancoOriginal @AuroraAlimentos #DayaneExpulsa 
FACA NAO É ENTRETENIMENTO https://t.co/5wdIn93TUl"
48,2021-11-16 15:52:18+00:00,"@Kalinneaazevedo @natalia_flecha @Ligia21340801 @afazendarecord @rocarelli @GalisteuOficial @TikTokBrasil @SedaOficial @Ambev @americanas @BancoOriginal @AuroraAlimentos Os dois estão errados, mas FACA é bem pior né. Ele poderia sair do quarto e os dia brigarem e dar uma merda muito grande. E outra coisa tem criança assistindo. Pra ganhar o prêmio não tem necessidade de rasgar roupa de outra pessoa

FACA NAO É ENTRETENIMENTO"
49,2021-11-16 15:18:16+00:00,"@pitstopoficial @Ambev Aniversariante paga a primeira rodada, viu?"
50,2021-11-16 15:10:07+00:00,"Agora é permitido pelas regras usar arma branca? Falta de respeito total com o público, esperamos uma retratação. 
@afazendarecord @rocarelli @GalisteuOficial @TikTokBrasil @SedaOficial @Ambev @americanas @BancoOriginal @AuroraAlimentos #DayaneExpulsa 
FACA NAO É ENTRETENIMENTO https://t.co/JQcfj4uyXe"
51,2021-11-16 14:50:17+00:00,@isa_lu4 @_silvavicck99 Pra você comadre eu ligo até pra Ambev
52,2021-11-16 14:44:49+00:00,"@natalia_hardman Meus parabéns nat trem da ambev, aproveite bem seu dia ♡"
53,2021-11-16 14:13:07+00:00,"E kd a expulsão 
@rocarelli @recordtvoficial @afazendarecord @GalisteuOficial @SedaOficial @TikTokBrasil @BancoOriginal @Ambev 
A foi mal vcs fazem de psicopatas campeões... pq para o Bispo eles tem valor... pra depois darem o testemunho ""EUSOUAUNIVERSAL""
PIADA PRONTA https://t.co/115yM2hVjt"
54,2021-11-16 13:27:47+00:00,Ambev achou a pessoa do teste . Rs https://t.co/4CEbzGaYoT
55,2021-11-16 13:26:03+00:00,"@rocarelli @recordtvoficial @SedaOficial @afazendarecord @Ambev @TikTokBrasil @AuroraAlimentos @BancoOriginal 
Tudo bando de racistas e homofóbicos https://t.co/KFkKC0wR1u"
56,2021-11-16 13:23:43+00:00,"@rocarelli @recordtvoficial @afazendarecord @SedaOficial @AuroraAlimentos @Ambev @TikTokBrasil @BancoOriginal 
Claro q um carro de som é mais perigoso mesmo neh?
( contém ironia)
O q é uma Faca 🔪 neh?
Uma faca 🔪 na mão de uma psicopata não é nada gente. https://t.co/qeBn5ebsTS"
57,2021-11-16 12:30:57+00:00,@Rosimei85653576 @bussottab @SedaOficial @AuroraAlimentos @Ambev O @rocarelli agora....
58,2021-11-16 10:24:21+00:00,@_thaynanicole @Ambev Muito bom crescer na empresa que nos abriu as portas
59,2021-11-16 03:28:32+00:00,@rocarelli @AuroraAlimentos @Seda @Ambev @BancoOriginal @recordtvoficial @afazendarecord @TikTokBrasil https://t.co/JLWajKbKeo
60,2021-11-16 02:43:40+00:00,@jvictomoura E engraçado que compram na Ambev bem baratinho e vende pelo dobro
61,2021-11-16 01:41:39+00:00,@rocarelli @afazendarecord @recordtvoficial @Ambev @AuroraAlimentos @Seda @BancoOriginal @TikTokBrasil https://t.co/0tRqRnZ4is
62,2021-11-16 01:37:07+00:00,@mercadoaluizio @ZattarRafael Claro. Pra isso que a Ambev serve
63,2021-11-16 00:49:13+00:00,@rocarelli @BancoOriginal @Ambev @recordtvoficial @TikTokBrasil @recordtvoficial @AuroraAlimentos @Seda https://t.co/5fsPEW3qKK
64,2021-11-16 00:47:17+00:00,@Ambev @BancoOriginal https://t.co/ePTlYC3UG3
65,2021-11-15 22:49:10+00:00,"Eu fiquei na roça com 3 velhos e cerveja, obrigada por você existir @Ambev"
66,2021-11-15 22:17:51+00:00,"Eu pediria o 1 milhao da Selic. Esse valor eu posso usar como margem de garantia para operar short um ativo sem graça como Ambev e com o dinheiro eu compro o Bitcoin. 

Negocio é multiplicar o dinheiro e pensar fora da Caixa. Em breve mais aulas @ZattarRafael https://t.co/53eK0pMrk0"
67,2021-11-15 16:29:27+00:00,"@jsilvtj @Ambev Ahhh ok, aí tá explicado"
68,2021-11-15 16:11:32+00:00,@jsilvtj @Ambev Já? Fraquinho
69,2021-11-15 14:10:17+00:00,"Feriado dia de tomar uma né!!
@Ambev @skol 
Tamojunto!! https://t.co/j6Yx0ixKvx"
70,2021-11-15 02:14:14+00:00,a ambev antes de matar ela deprime
71,2021-11-15 01:23:09+00:00,"Todas as politicas públicas que funcionam neste pais estão sendo destruída por esse governo, foi isso que as elites fizeram !!! @itau @Bradesco @Ambev @showdavida"
72,2021-11-15 01:11:25+00:00,Queria mais cerveja... @berriodopiaui @heinekenbr @Ambev  Ta na Hora do patrocínio de vocês.
73,2021-11-15 00:57:17+00:00,ALÔ AMBEV
74,2021-11-14 23:44:54+00:00,Mais uma da série: @Ambev patrocina a @camelouu . https://t.co/cISxRNh0Hh
75,2021-11-14 22:47:12+00:00,"@isacarrvalho Assiste o jogo do @Cruzeiro que vc vai querer virar sócia da AmBev.
Que time FDP."
76,2021-11-14 21:14:51+00:00,@Ambev Vazou eu kkkkkkk
77,2021-11-14 20:22:02+00:00,a única cura da ressaca de ambev possível https://t.co/CGYqvtqjHq
78,2021-11-14 17:57:29+00:00,@paularocha80 @camelouu @Ambev Por favor @Ambev manda um kit pra moça
79,2021-11-14 13:59:38+00:00,bebi ontem como se a ambev tivesse declarado falência.
80,2021-11-14 06:01:07+00:00,"Alô, AmBev?
Dobra a produção aí🎶"
81,2021-11-14 04:43:12+00:00,hoje eu cometi ambev
82,2021-11-14 01:53:40+00:00,Alô AmBev
83,2021-11-13 22:02:49+00:00,@camelouu alô @Ambev perdendo oportunidade de aproveitar essa fada influencer #ad #publi #spaten
84,2021-11-13 21:35:33+00:00,Eu bebo uma cerveja e da vontade deee beber a ambev 😔
85,2021-11-13 21:20:14+00:00,"@AliceTicesilva É uma alemã, mas agora fabricada pela AmBev. Gostei dela."
86,2021-11-13 19:56:04+00:00,"@recordtvoficial , ser evangélico e dizer que ama Cristo e agir com desonestidade, fazendo pessoas chorarem e facilitar para o preconceito? a Lei é de todos contra um gay?
@rocarelli  @GalisteuOficial @SedaOficial  @AuroraAlimentos  @AmBev @americanas #AFazenda #AFazenda13"
87,2021-11-13 18:03:06+00:00,"@souandarilho87 É bem levinha, parece as AmBev 
Tô provando aquela nova de Munique, aquela spatem, deve ser a Brahma de lá"
88,2021-11-13 17:56:55+00:00,"Alô AmBev, dobra a produção 🎶"
89,2021-11-13 16:37:20+00:00,Mente Vazia e Oficina Da AmBev e Johnnie Walker 💆🏽‍♂️😉
90,2021-11-13 16:27:46+00:00,"@RdgMedeiros É que a AmBev comprou essa marca pra competir com a Heineken.

Eu acho que não deve chegar nem perto, mas queria saber se era razoável."
91,2021-11-13 14:24:08+00:00,@dudaaacardosoo Orgulho da mamãe @Ambev 🥰
92,2021-11-13 14:21:00+00:00,@CarolNeri_ ambev lendo isso: 😁😁😁😁😁😁
93,2021-11-13 04:31:38+00:00,"@peaceex2 @SigaPlayPlus @RicoMelquiades @alinemineiro EXPULSÃO DO RICO

@recordtvoficial
@afazendarecord 
@rocarelli 
@GalisteuOficial 
@SonyPictures
@TikTokBrasil
@Ambev
@americanas
@SedaOficial
@BancoOriginal
@AuroraAlimentos
#DayAndFarm 
#AFazenda #AFazenda13"
94,2021-11-13 04:25:28+00:00,Meu sonho de princesa é trabalhar na ambev
95,2021-11-13 02:48:23+00:00,@Ambev dobra a produção
96,2021-11-12 22:44:44+00:00,"@Clauwild1 E dos ""empresários"" da trupe do Magazine Luiza, Natura, Itaú, Ambev e outros progressistas."
97,2021-11-12 22:14:33+00:00,"Que corja de gente ruim é essa, Jesus?
@rocarelli você é o culpado de tudo isso. Tomara que os patrocinadores estejam vendo isso que vc causou por ser desonesto e manipulador.
#AFazenda #AFazenda13 
O povo não quer isso!
@AuroraAlimentos @SedaOficial @Ambev https://t.co/8cfj1oFhmw"
98,2021-11-12 20:08:56+00:00,"experimentei uma cerveja nova da ambev gostosa pra caralho, mané"
99,2021-11-12 19:06:06+00:00,"Alôooooooooooo Ambev..... vem me consola 😥😥😥
@Ambev"
100,2021-11-12 18:20:14+00:00,O auge do alcoolismo é ser convidada pra confraternização da ambev
101,2021-11-12 15:19:40+00:00,@FKoyote @Ambev HAHAHAHAHAHA É ISSO https://t.co/OwwBDw0VZd
102,2021-11-12 14:36:22+00:00,Alguém fala pra AMBEV me patrocinar
103,2021-11-12 12:26:44+00:00,@pinomarciomotta @Ambev HAHAHAHA contando as horas
104,2021-11-12 10:55:19+00:00,"Bom dia meu amor, @Ambev...

Já pode ou ta cedo?"
105,2021-11-11 23:19:27+00:00,novo acionista da ambev
106,2021-11-11 22:59:29+00:00,Acabou de publicar uma foto em Ambev - Centro De Inovação e Tecnologia https://t.co/WTVcBaVgaz
107,2021-11-11 20:01:21+00:00,@Ambev adm tá tudo bem?
108,2021-11-11 19:14:40+00:00,"@nathricchi Será que vende na Ambev? 🥺
Acho que chama Duplo Malte"
109,2021-11-11 16:43:18+00:00,"Caixa da AmBev e litrão de Devassa, aí não da 🤦🏽‍♂️💔 https://t.co/iVxvPxVcTJ"
