,date,content
42,2021-01-10 19:01:45+00:00,Cerveja belga @hoegaarden @hoegaardenbrasil  nesse verão nordestino es de loucos. em Camp Nou Aju https://t.co/eJvZ7mNQeF
43,2021-01-09 21:20:54+00:00,"@danilars As puro malte que falei, as comuns são fáceis de achar. As de trigo compensa começar a ficar de olho em promoções, recomendo bastante as da faxe (latas Branca e a azul clarinho), hoegaarden entre outras 😉"
44,2021-01-03 22:23:49+00:00,Obs.: Seria Hoegaarden o Jardim das Putas?
45,2021-01-03 22:23:14+00:00,N lembrava a última vez que tinha tomado uma Hoegaarden https://t.co/bCdzcB3svk
46,2020-12-31 00:35:12+00:00,"@WellGaloDoido @StellaArtois Excelente escolha, vão aí outras sugestões:
As Belgian Witt - Hoegaarden, Praya e Baden Baden Wit. Notas de frutas cítricas e especiarias como o Coentro.
Wals Berliner
As 0 carboidrato - Brüder Alma Cevada, Albanos Lifelager.
Se couber malte mais torrado nas pref, mandamos mais"
47,2020-12-23 23:55:03+00:00,Hoegaarden pq tão boa????
48,2020-12-23 23:11:59+00:00,"@wgrsilvacrf @TozzaFla @DoutrinadorXan @delaurentiis_br @carlitasFLA @heinekenbr @Flamengo @CandiaCrf Hoegaarden é minha preferida. Essa belgian white eu paquerei hj...
Caraca, tá dando gatilho aqui..kkkk"
49,2020-12-14 12:39:11+00:00,@HeyViada Chega desse jeito com uma garrafa de hoegaarden
50,2020-12-14 01:34:12+00:00,Fechando FDS no Estilo. #Witbier #hoegaarden @hoegaardenbrasil @hoegaarden em Gravatá https://t.co/p3suzHLbLc
51,2020-12-06 17:20:08+00:00,I'm at Hoegaarden Greenhouse in São Paulo https://t.co/21SjBN7aDx
52,2020-12-06 17:04:37+00:00,Onde eu gosto de estar 🍻 em Hoegaarden Greenhouse https://t.co/8TkySVEpVX
53,2020-11-30 20:40:38+00:00,"@krispenari Eu gosto muito dessa, gosto da hoegaarden wit bier e tbm uma que é chopp em garrafa da cidade onde moro: Zehn Bier. Excelentes."
54,2020-11-29 12:43:08+00:00,@JanaDahoui Hoegaarden...minha preferida
55,2020-11-27 12:06:47+00:00,Hoegaarden a cincão e ainda com cupom de 30. Habemus Black Friday
56,2020-11-18 23:38:12+00:00,Hoje é dia!!! #beer #hoegaarden #witbier https://t.co/xq7gfZTGlt
57,2020-11-16 21:03:48+00:00,Nossa mas eu queria muito uma hoegaarden agora
58,2020-11-06 01:56:34+00:00,Agora eu quero cerveja hoegaarden
59,2020-10-27 22:44:32+00:00,Tem latão da hoegaarden e eu nem sabia ..será q e a mesma fita da longneck
60,2020-10-21 20:09:13+00:00,"@gucamposs_s Cara o creme do creme das wit tem em mercado tbm e não é caro, chama Hoegaarden! Procura!!"
61,2020-10-17 23:19:14+00:00,"Dona Martha falou que a Hoegaarden é muito boa.
É isto."
62,2020-10-13 14:00:56+00:00,"As vezes eu falo com a vida...
.
.
.
#alma #oat #lager #hocuspocus #quarentena #hoegaarden em Rio de Janeiro, Rio de Janeiro https://t.co/JvB4GoLAKR"
63,2020-10-11 14:11:17+00:00,Hoegaarden por 6 reais no DdC #informei
64,2020-10-11 02:15:21+00:00,Hoegaarden
65,2020-10-10 22:21:23+00:00,Hoegaarden geladinha e pizza de peperonni é muito autocuidado
66,2020-10-10 01:51:16+00:00,"A Cerveja @HoegaardenK @HoegaardenCA @HoegaardenIndia Wit é uma Witbier belga: feita de trigo, de cor clara e turva. Diga-se de passagem maravilhosa. (Desconheço melhor).
#hoegaarden #witbeer #videomaker #BehindTheScenes https://t.co/jXGzQBFbNG"
67,2020-10-08 17:02:43+00:00,"👇
6. Schneider Weisse Tap 01 (Helle Weisse)
7. Vedett Extra White
8. Hofbräu Münchner Weisse
9. Schneider Weisse Tap 04 (Festweisse)
10. Memminger Premium
11. StartUp (melhor brasileira)
12. Hoegaarden Wit / Blanche
13. Barbakan Jasne Pelne
14. Templářské tajemné pivo
Seg."
68,2020-10-08 01:23:28+00:00,agora tomando uma hoegaarden
69,2020-10-03 02:07:11+00:00,Hoegaarden y alitas
70,2020-10-01 23:41:25+00:00,"Queria falar que esse horário da semana que vem estarei pousando em Cuiabá para pegar 46° na sombra, porém com 80 long neck de hoegaarden q meu irmão comprou especialmente pra mim.

Serei CANCELADAH porém CANCELADAH bêbada de hoegaarden finalmente matando a saudade do Vinicinhos."
71,2020-09-26 18:15:26+00:00,La promo sigue. 12 alitas + 6 cervezas #hoegaarden por solo $10.75.  Llámanos 303-4444 o escribe 6615-8000 y te las enviamos. en Chillin Panama https://t.co/XrdUPl64Se
72,2020-09-26 17:16:27+00:00,dia propício pra uma Hoegaarden
73,2020-09-23 15:59:36+00:00,Por solo $10.75 tu orden de 12 alitas y te mandamos 1 six pack de #hoegaarden totalmente GRATIS.  Disfrútalo y llámanos YA 303-4444 O escribe 6615-8000 que es hasta que se acaben.  Promo válida hoy miércoles https://t.co/VWpUVpqp6u
74,2020-09-19 17:29:31+00:00,Caralho pedi um ze delivery veio lá do salgueiro e parece que o cu da foca é lá. Que trabalho lindo vieram as patagonia e hoegaarden
75,2020-09-18 22:50:38+00:00,"Sextou com a melhor loira que tem, a famosa Hoegaarden! #hoegarden #hoegaardenbeer #supla #fridaymood #fridaynight #hotnight em Vila Firmiano Pinto https://t.co/8fclMwtbsI"
76,2020-09-17 17:57:49+00:00,"Quando o boy promete e cumpre 
E ainda trouxe Hoegaarden 😍 e essa cerveja Praya é muito gostosa também ❤️❤️
Não deu tempo de registrar o almoço pois a fome foi voraz depois da pegaçao intensa mas garanto foi no melhor mood Dean Winchester 😂 https://t.co/XdJziDrDfU"
77,2020-09-06 21:44:05+00:00,"Hoegaarden, que cerveja DELÍCIA"
78,2020-09-05 19:38:39+00:00,Drinking a Hoegaarden Wit / Blanche by @hoegaarden @ Vila Seu Justino — https://t.co/yxNUZy2NtC
